WavwNum_Goethite,value_Goethite
358.0846,22.8814
358.5667,24.23458
359.0489,25.75591
359.531,27.20458
360.0131,28.24422
360.4952,29.23127
360.9773,30.5154
361.4594,32.32456
361.9416,34.29319
362.4237,36.22644
362.9058,38.179
363.3879,40.32378
363.87,42.65993
364.3521,45.26383
364.8343,48.17833
365.3164,51.51922
365.7985,54.95139
366.2806,58.2594
366.7627,61.65287
367.2448,65.41337
367.727,70.02425
368.2091,74.62685
368.6912,78.84711
369.1733,82.45882
369.6554,86.68099
370.1375,91.9631
370.6197,97.64471
371.1018,103.2361
371.5839,108.6766
372.066,114.1293
372.5481,119.5455
373.0302,124.9213
373.5124,130.4376
373.9945,136.1305
374.4766,141.9161
374.9587,147.8291
375.4408,153.9863
375.9229,159.9443
376.4051,165.616
376.8872,171.1927
377.3693,177.1128
377.8514,183.4305
378.3335,190.0392
378.8156,196.7774
379.2978,203.7015
379.7799,211.1892
380.262,219.4225
380.7441,227.9355
381.2262,236.0854
381.7083,243.8626
382.1905,252.1403
382.6726,261.4162
383.1547,271.1993
383.6368,279.7614
384.1189,287.1327
384.601,294.0018
385.0832,301.7329
385.5653,309.4723
386.0474,314.7949
386.5295,316.9251
387.0116,317.1456
387.4937,317.2938
387.9759,316.9688
388.458,314.7723
388.9401,309.6636
389.4222,302.3642
389.9043,293.4109
390.3864,282.6898
390.8686,271.496
391.3507,260.7627
391.8328,250.0918
392.3149,239.0512
392.797,226.7947
393.2791,214.8134
393.7613,203.8296
394.2434,193.8103
394.7255,184.9222
395.2076,177.4696
395.6897,170.9769
396.1718,165.134
396.654,159.9634
397.1361,155.3158
397.6182,151.1632
398.1003,147.5063
398.5824,144.3481
399.0645,142.1918
399.5467,140.0807
400.0288,137.7333
400.5109,135.1447
400.993,132.2682
401.4751,129.3819
401.9572,126.0348
402.4394,121.7476
402.9215,116.2022
403.4036,110.2134
403.8857,103.6685
404.3678,96.65765
404.8499,90.25523
405.3321,84.39825
405.8142,79.16147
406.2963,74.6939
406.7784,71.03659
407.2605,67.814
407.7426,65.07131
408.2248,62.66414
408.7069,60.13129
409.189,57.44516
409.6711,55.48083
410.1532,54.78413
410.6353,55.17833
411.1175,55.76255
411.5996,56.54588
412.0817,57.40061
412.5638,58.07655
413.0459,58.6777
413.528,59.64284
414.0102,61.1499
414.4923,62.99905
414.9744,65.03979
415.4565,67.24526
415.9386,69.40649
416.4207,71.50694
416.9029,73.46838
417.385,75.33131
417.8671,77.24226
418.3492,78.47591
418.8313,78.60229
419.3134,77.71118
419.7956,75.95197
420.2777,72.75104
420.7598,69.23489
421.2419,65.991
421.724,63.0202
422.2061,59.73727
422.6883,55.58002
423.1704,51.23763
423.6525,47.13166
424.1346,43.38378
424.6167,39.84977
425.0988,36.47211
425.581,33.33981
426.0631,30.67345
426.5452,28.86401
427.0273,27.14539
427.5094,25.26484
427.9915,23.17831
428.4737,21.19254
428.9558,19.25876
429.4379,17.47785
429.92,15.98035
430.4021,14.85821
430.8842,13.74473
431.3664,12.54733
431.8485,11.32851
432.3306,10.34838
432.8127,9.630722
433.2948,9.03907
433.7769,8.587948
434.2591,8.251446
434.7412,7.591003
435.2233,6.511753
435.7054,5.346249
436.1875,4.475719
436.6696,3.889477
437.1518,3.530022
437.6339,3.545582
438.116,3.669819
438.5981,3.40881
439.0802,2.789433
439.5623,2.116425
440.0444,1.55595
440.5266,1.100323
441.0087,0.732891
441.4908,0.457066
441.9729,0.255352
442.455,0.229008
442.9371,0.26276
443.4193,0.128914
443.9014,0.466873
444.3835,1.088409
444.8656,1.547363
445.3477,1.835274
445.8298,1.905964
446.312,1.481079
446.7941,0.969902
447.2762,0.706985
447.7583,1.085365
448.2404,1.293804
448.7225,1.204517
449.2047,0.893738
449.6868,0.559601
450.1689,0.049773999
450.651,0.277824
451.1331,0.220184
451.6152,0.331135
452.0974,0.547626
452.5795,0.331944
453.0616,0.049495999
453.5437,0.316616
454.0258,0.448586
454.5079,0.620838
454.9901,0.882137
455.4722,1.210476
455.9543,1.548141
456.4364,1.892246
456.9185,2.222118
457.4006,2.549885
457.8828,2.859245
458.3649,3.059368
458.847,3.119164
459.3291,3.225658
459.8112,3.645435
460.2933,4.264683
460.7755,4.824234
461.2576,5.212234
461.7397,5.522778
462.2218,5.801277
462.7039,6.0667
463.186,6.394646
463.6682,6.824543
464.1503,7.341244
464.6324,7.927254
465.1145,8.5877
465.5966,9.320061
466.0787,10.1951
466.5609,11.12263
467.043,11.97412
467.5251,12.55514
468.0072,13.23678
468.4893,14.18054
468.9714,15.36477
469.4536,16.38422
469.9357,17.15336
470.4178,17.84817
470.8999,18.54657
471.382,19.23806
471.8641,19.9642
472.3463,20.74371
472.8284,21.53527
473.3105,22.23375
473.7926,22.7738
474.2747,23.60807
474.7568,25.03165
475.239,26.82949
475.7211,28.06316
476.2032,28.71096
476.6853,29.16134
477.1674,29.62008
477.6495,30.11991
478.1317,30.8283
478.6138,31.83768
479.0959,32.77633
479.578,33.13766
480.0601,33.10721
480.5422,33.11747
481.0244,33.57318
481.5065,33.98899
481.9886,33.97841
482.4707,33.56042
482.9528,32.94034
483.4349,32.08043
483.9171,31.13709
484.3992,30.2457
484.8813,29.48758
485.3634,28.63529
485.8455,27.65622
486.3276,26.55415
486.8098,25.33967
487.2919,24.0682
487.774,22.59865
488.2561,20.80181
488.7382,18.69941
489.2203,16.9879
489.7025,15.8252
490.1846,14.83371
490.6667,13.79504
491.1488,12.70326
491.6309,11.62376
492.113,10.50598
492.5952,9.48959
493.0773,8.868351
493.5594,8.635155
494.0415,8.160824
494.5236,7.057835
495.0057,5.674053
495.4879,4.860691
495.97,4.589199
496.4521,4.390228
496.9342,3.855259
497.4163,3.199509
497.8984,2.782307
498.3806,2.678619
498.8627,2.655598
499.3448,2.559612
499.8269,2.422939
500.309,2.293251
500.7911,2.213428
501.2733,2.119972
501.7554,1.994087
502.2375,1.809879
502.7196,1.509186
503.2017,0.932682
503.6838,0.374943
504.166,0.015022
504.6481,0.084274001
505.1302,0.161709
505.6123,0.256622
506.0944,0.35144
506.5765,0.415878
507.0587,0.425613
507.5408,0.421093
508.0229,0.392788
508.505,0.369999
508.9871,0.432564
509.4692,0.627396
509.9514,0.744526
510.4335,0.606087
510.9156,0.246494
511.3977,0.095458999
511.8798,0.417
512.3619,0.659752
512.8441,0.692284
513.3262,0.608227
513.8083,0.630096
514.2904,0.863121
514.7725,1.143597
515.2546,1.26004
515.7368,1.296669
516.2189,1.473507
516.701,2.205448
517.1831,2.855667
517.6652,2.939991
518.1473,2.404652
518.6295,2.027637
519.1116,1.982224
519.5937,2.200718
520.0758,2.634933
520.5579,3.662136
521.04,4.400982
521.5222,4.764915
522.0043,4.876225
522.4864,4.941261
522.9685,4.937847
523.4506,4.975559
523.9327,5.033062
524.4149,5.125797
524.897,5.484421
525.3791,6.165283
525.8612,6.927898
526.3433,7.627132
526.8254,8.245869
527.3076,8.717804
527.7897,9.012394
528.2718,9.288246
528.7539,9.764893
529.236,10.37684
529.7181,10.95728
530.2003,11.32935
530.6824,11.74311
531.1645,12.48228
531.6466,13.45941
532.1287,14.40684
532.6108,15.23188
533.093,15.9612
533.5751,16.57555
534.0572,17.02677
534.5393,17.58973
535.0214,18.29644
535.5035,19.16254
535.9857,20.18153
536.4678,21.433
536.9499,22.71984
537.432,24.05964
537.9141,25.40622
538.3962,26.60178
538.8784,27.60886
539.3605,28.6274
539.8426,29.70087
540.3247,30.8432
540.8068,32.08168
541.2889,33.41906
541.7711,34.77438
542.2532,36.07153
542.7353,37.31949
543.2174,38.54715
543.6995,39.76608
544.1816,40.9309
544.6638,41.86824
545.1459,42.73838
545.628,43.81636
546.1101,45.43837
546.5922,47.09788
547.0743,48.72051
547.5565,50.19007
548.0386,51.06832
548.5207,50.70238
549.0028,50.13927
549.4849,49.93614
549.967,50.32629
550.4492,50.2398
550.9313,49.49222
551.4134,48.40976
551.8955,47.20636
552.3776,45.85698
552.8597,44.48631
553.3419,43.13999
553.824,41.74414
554.3061,40.15808
554.7882,38.38146
555.2703,36.4
555.7524,34.10877
556.2346,31.68986
556.7167,29.72852
557.1988,28.19703
557.6809,26.70932
558.163,24.80085
558.6451,22.8288
559.1273,21.45625
559.6094,20.86302
560.0915,20.10842
560.5736,18.27011
561.0557,16.03729
561.5378,14.20626
562.02,13.29375
562.5021,12.50335
562.9842,11.5747
563.4663,10.60781
563.9484,9.884823
564.4305,9.652229
564.9127,9.38681
565.3948,8.944576
565.8769,8.328499
566.359,7.651924
566.8411,6.868626
567.3232,6.09845
567.8054,5.383041
568.2875,4.737072
568.7696,4.371845
569.2517,4.3428
569.7338,4.41721
570.2159,4.375805
570.6981,4.197239
571.1802,3.794708
571.6623,2.97958
572.1444,2.142723
572.6265,1.656921
573.1086,1.478069
573.5908,1.463001
574.0729,1.815491
574.555,2.08773
575.0371,1.9324
575.5192,1.312187
576.0013,0.794117
576.4835,0.560116
576.9656,0.439533
577.4477,0.319557
577.9298,0.163803
578.4119,0.083038002
578.894,0.134735
579.3762,0.210953
579.8583,0.128864
580.3404,0.163891
580.8225,0.329277
581.3046,0.237301
581.7867,0.02076
582.2689,0.077514999
582.751,0.388531
583.2331,0.630783
583.7152,0.560825
584.1973,0.333725
584.6794,0.176571
585.1616,0.096557997
585.6437,0.113777
586.1258,0.341427
586.6079,0.618958
587.09,0.796692
587.5721,0.835472
588.0542,0.809185
588.5363,0.73848
589.0184,0.618019
589.5005,0.440651
589.9827,0.089759998
590.4648,0.176895
590.9469,0.339344
591.429,0.397141
