WavwNum_Jarosite,value_Jarosite
599.8616,29.58313
600.3438,29.7768
600.8259,30.12921
601.308,30.5528
601.7901,30.71153
602.2722,30.20392
602.7543,30.08447
603.2365,30.76558
603.7186,32.22693
604.2007,33.83181
604.6828,35.46119
605.1649,37.80269
605.647,41.48191
606.1292,46.38783
606.6113,52.03587
607.0934,58.18324
607.5755,65.27233
608.0576,73.7602
608.5398,83.50029
609.0219,94.10501
609.504,106.3741
609.9861,118.2957
610.4683,128.884
610.9504,138.4166
611.4325,147.5086
611.9146,155.6183
612.3967,163.7096
612.8788,171.9001
613.361,180.2401
613.8431,189.8175
614.3252,200.3127
614.8073,212.4965
615.2894,226.8029
615.7715,243.1044
616.2537,262.2393
616.7358,284.4434
617.2179,308.3621
617.7,332.5296
618.1821,357.1995
618.6642,382.4491
619.1464,408.5812
619.6285,435.4627
620.1106,463.5283
620.5927,492.3291
621.0748,520.9116
621.5569,551.3188
622.0391,579.3276
622.5212,607.7803
623.0033,633.1578
623.4854,644.7743
623.9675,642.6517
624.4496,623.848
624.9318,584.4988
625.4139,524.9454
625.896,463.021
626.3781,396.4754
626.8602,334.2825
627.3423,281.9395
627.8245,239.3247
628.3066,203.4481
628.7887,174.3671
629.2708,150.6862
629.7529,132.1452
630.235,117.9275
630.7172,105.7542
631.1993,95.1312
631.6814,86.62444
632.1635,81.13107
632.6456,77.89735
633.1277,75.66376
633.6099,74.39832
634.092,73.66866
634.5741,73.50662
635.0562,73.82165
635.5383,74.20844
636.0204,74.49728
636.5026,75.19772
636.9847,76.45224
637.4668,78.1873
637.9489,80.15129
638.431,82.57072
638.9131,84.39597
639.3953,84.88618
639.8774,84.18458
640.3595,82.97834
640.8416,81.31425
641.3237,78.89037
641.8058,75.31515
642.288,70.87881
642.7701,66.03185
643.2522,60.72334
643.7343,55.29654
644.2164,49.53471
644.6985,43.81631
645.1807,38.6937
645.6628,34.28263
646.1449,30.49387
646.627,27.5604
647.1091,25.15978
647.5912,22.5302
648.0734,19.49294
648.5555,16.68549
649.0376,14.30028
649.5197,12.2696
650.0018,10.30729
650.4839,8.386543
650.9661,6.615112
651.4482,4.937035
651.9303,3.47348
652.4124,2.507988
652.8945,2.043884
653.3766,1.666191
653.8588,1.173836
654.3409,0.597771
654.823,0.104797
655.3051,1.097862
655.7872,1.736488
656.2693,1.455933
656.7515,0.994026
657.2336,1.098648
657.7158,2.212936
658.1979,2.924438
658.68,3.073364
659.1621,2.8423
659.6442,2.515617
660.1263,2.09446
660.6085,1.577927
661.0906,0.862869
661.5727,0.182312
662.0548,0.093268998
662.5369,0.012215
663.019,0.406921
663.5012,1.460346
663.9833,2.454758
664.4654,2.727924
664.9475,2.348957
665.4296,2.027409
665.9117,2.139614
666.3939,2.237865
666.876,1.983658
667.3581,1.238976
667.8402,1.126873
668.3223,2.065807
668.8044,2.978439
669.2866,2.909069
669.7687,1.802017
670.2508,1.1922
670.7329,1.212078
671.215,1.49049
671.6971,1.849552
672.1793,2.140144
672.6614,1.871452
673.1435,0.701767
673.6256,0.445568
674.1077,0.876678
674.5898,0.796341
675.072,0.522877
675.5541,0.265804
676.0362,0.764862
676.5183,0.494545
677.0004,0.226154
677.4825,0.50016
677.9647,0.052329998
678.4468,0.298737
678.9289,0.353271
679.411,0.131569
679.8931,0.418743
680.3752,1.334728
680.8574,1.932053
