WavwNum_Magnesite,value_Magnesite
205.0076,227.3609
205.4897,240.7754
205.9718,255.4781
206.4539,271.7179
206.9361,287.97
207.4182,304.7895
207.9003,321.1978
208.3824,335.5057
208.8645,349.2154
209.3466,357.0045
209.8288,356.0076
210.3109,346.1566
210.793,327.3437
211.2751,297.1885
211.7572,258.7529
212.2393,221.1829
212.7215,183.7388
213.2036,149.5697
213.6857,120.7883
214.1678,97.71542
214.6499,78.82011
215.1321,64.33814
215.6142,53.7342
216.0963,45.16519
216.5784,39.06271
217.0605,34.19896
217.5426,29.875
218.0248,26.15451
218.5069,22.91255
218.989,20.18525
219.4711,17.9339
219.9532,15.93672
220.4353,14.20562
220.9175,12.68044
221.3996,11.29675
221.8817,10.03671
222.3638,9.002541
222.8459,8.263489
223.328,7.763268
223.8102,7.277863
224.2923,6.826889
224.7744,6.349438
225.2565,5.802082
225.7386,5.1492
226.2208,4.500744
226.7029,3.795898
227.185,3.090767
227.6671,2.743702
228.1492,2.956909
228.6313,3.240307
229.1135,3.298626
229.5956,3.061649
230.0777,2.750782
230.5598,2.322254
231.0419,1.823715
231.524,1.495331
232.0062,1.436161
232.4883,1.413094
232.9704,1.290569
233.4525,1.047344
233.9346,0.740452
234.4167,0.286224
234.8989,0.239246
235.381,0.445816
235.8631,0.113964
236.3452,0.245438
236.8273,0.32188
237.3095,0.070235997
237.7916,0.343769
238.2737,0.442188
238.7558,0.397575
239.2379,0.335457
239.72,0.21645
240.2022,0.133457
240.6843,0.150093
241.1664,0.351414
241.6485,0.459312
242.1306,0.407413
242.6127,0.252796
243.0949,0.220585
243.577,0.361877
244.0591,0.553017
244.5412,0.73877
245.0233,0.943794
245.5054,1.088032
245.9876,1.157459
246.4697,1.165356
246.9518,1.157749
247.4339,1.156742
247.916,1.106689
248.3981,0.966705
248.8803,0.662827
249.3624,0.44902
249.8445,0.371429
250.3266,0.376595
250.8087,0.311363
251.2909,0.13224
251.773,0.043949001
252.2551,0.160469
252.7372,0.19595
253.2193,0.231133
253.7014,0.280479
254.1836,0.322311
254.6657,0.302933
255.1478,0.202614
255.6299,0.075732999
256.112,0.060054999
256.5941,0.209461
257.0763,0.358391
257.5584,0.543991
258.0405,0.706429
258.5226,0.708527
259.0047,0.476532
259.4868,0.235615
259.969,0.084705003
260.4511,0.059284002
260.9332,0.046432
261.4153,0.269268
261.8974,0.542072
262.3795,0.762779
262.8617,0.957676
263.3438,1.037384
263.8259,0.904415
264.308,0.489849
264.7901,0.405617
265.2722,0.806747
265.7544,1.353336
266.2365,1.526909
266.7186,1.221413
267.2007,0.862957
267.6829,0.539032
268.165,0.237514
268.6471,0.177738
269.1292,0.448315
269.6113,0.820347
270.0934,0.993145
270.5756,0.911327
271.0577,0.859829
271.5398,0.974308
272.0219,1.243843
272.504,1.153614
272.9861,0.549488
273.4683,0.079444997
273.9504,0.166019
274.4325,0.388741
274.9146,0.95612
275.3967,1.462532
275.8788,1.877949
276.361,1.81982
276.8431,1.144028
277.3252,0.435001
277.8073,0.259018
278.2894,0.654743
278.7715,1.158863
279.2537,1.760532
279.7358,2.385685
280.2179,2.690521
280.7,2.624695
281.1821,2.470459
281.6642,2.418011
282.1464,2.467228
282.6285,2.648972
283.1106,2.998379
283.5927,3.458214
284.0748,3.895798
284.5569,4.316288
285.0391,4.67617
285.5212,4.925499
286.0033,5.073059
286.4854,5.222244
286.9675,5.374302
287.4496,5.550175
287.9318,5.776485
288.4139,6.0555
288.896,6.422222
289.3781,6.919899
289.8602,7.534267
290.3424,8.210468
290.8245,8.964287
291.3066,9.730698
291.7887,10.35048
292.2708,10.84762
292.753,11.40477
293.2351,12.19121
293.7172,13.16214
294.1993,14.00513
294.6814,14.64989
295.1635,15.37624
295.6457,16.5641
296.1278,18.15926
296.6099,19.90093
297.092,21.64351
297.5741,23.42926
298.0562,25.27578
298.5384,27.15315
299.0205,29.18625
299.5026,31.36942
299.9847,33.79433
300.4668,36.77763
300.9489,40.4935
301.4311,44.74085
301.9132,48.94633
302.3953,53.17772
302.8774,58.19199
303.3595,64.56284
303.8416,72.17133
304.3238,81.00826
304.8059,90.93488
305.288,102.0032
305.7701,113.9333
306.2522,126.8933
306.7343,141.1612
307.2165,157.9178
307.6986,175.9056
308.1807,193.5746
308.6628,210.7131
309.1449,227.5748
309.627,244.649
310.1092,261.9144
310.5913,278.7848
311.0734,294.4603
311.5555,309.9216
312.0376,325.6702
312.5197,341.5943
313.0019,358.4323
313.484,376.6907
313.9661,396.3786
314.4482,417.6636
314.9304,440.3114
315.4125,464.8135
315.8946,491.1252
316.3767,519.2615
316.8588,549.7368
317.3409,582.8424
317.8231,618.6049
318.3052,656.8959
318.7873,697.7855
319.2694,741.6026
319.7515,789.1219
320.2336,840.5473
320.7158,893.2056
321.1979,948.8359
321.68,1003.763
322.1621,1054.442
322.6442,1104.797
323.1263,1146.078
323.6085,1178.654
324.0906,1201.987
324.5727,1208.849
325.0548,1199.606
325.5369,1172.635
326.019,1126.895
326.5012,1052.508
326.9833,970.5222
327.4654,877.3071
327.9475,776.4159
328.4296,683.2998
328.9117,597.2634
329.3939,519.7485
329.876,450.6959
330.3581,390.0509
330.8402,337.8978
331.3223,295.4533
331.8044,260.8357
332.2866,230.2876
332.7687,204.4308
333.2508,182.1899
333.7329,163.4037
334.215,148.4421
334.6971,134.9878
335.1793,123.1117
335.6614,112.5146
336.1435,102.9678
336.6256,94.42628
337.1077,86.86482
337.5899,80.55885
338.072,75.38358
338.5541,70.51389
339.0362,65.90655
