WavwNum_Dolomite,value_Dolomite
433.6921,4.32642
434.1742,3.459518
434.6563,2.786591
435.1385,2.357807
435.6206,2.178062
436.1027,2.234932
436.5848,2.506168
437.0669,2.962704
437.549,3.705154
438.0312,4.350136
438.5133,4.317883
438.9954,3.810699
439.4775,3.354366
439.9596,3.558079
440.4417,3.840256
440.9239,3.517696
441.406,2.525536
441.8881,1.682899
442.3702,1.48436
442.8523,1.704815
443.3344,2.125507
443.8166,3.045418
444.2987,3.647766
444.7808,3.506516
445.2629,2.895046
445.745,2.481194
446.2271,2.635647
446.7093,2.715099
447.1914,2.353317
447.6735,1.218124
448.1556,0.77869
448.6377,1.526112
449.1198,2.628841
449.602,3.21331
450.0841,2.905331
450.5662,2.925533
451.0483,3.714443
451.5304,4.944458
452.0125,4.968983
452.4947,3.38208
452.9768,1.68211
453.4589,0.769032
453.941,0.729195
454.4231,1.012058
454.9052,1.633209
455.3874,2.19891
455.8695,2.183609
456.3516,1.655132
456.8337,1.128639
457.3158,0.764225
457.7979,0.493454
458.2801,0.076168001
458.7622,0.42482
459.2443,0.600082
459.7264,0.015838999
460.2085,0.964241
460.6906,1.928242
461.1728,2.869503
461.6549,3.53587
462.137,3.726677
462.6191,3.54314
463.1012,3.112976
463.5833,1.861362
464.0655,0.924175
464.5476,0.925976
465.0297,1.781055
465.5118,2.739334
465.9939,4.26873
466.476,5.327564
466.9582,5.238243
467.4403,2.7854
467.9224,1.360615
468.4045,1.639301
468.8866,2.705345
469.3687,3.291077
469.8509,3.245068
470.333,2.944622
470.8151,2.354713
471.2972,1.528988
471.7793,1.022125
472.2614,0.830925
472.7436,0.951874
473.2257,1.636787
473.7078,2.908295
474.1899,3.360634
474.672,2.7897
475.1541,1.659443
475.6363,0.244045
476.1184,1.303696
476.6005,1.958458
477.0826,0.690189
477.5647,1.335522
478.0468,2.007767
478.529,1.470592
479.0111,1.046291
479.4932,2.181496
479.9753,3.732685
480.4574,4.246487
480.9395,3.219234
481.4217,1.956608
481.9038,1.047077
482.3859,0.476891
482.868,0.247719
483.3501,0.744648
483.8322,1.209515
484.3144,1.332253
484.7965,1.126286
485.2786,0.955189
485.7607,0.942471
486.2428,0.921654
486.7249,0.791206
487.2071,0.404556
487.6892,0.229942
488.1713,0.398434
488.6534,0.687298
489.1355,0.703014
489.6176,0.231998
490.0998,0.1702
490.5819,0.911415
491.064,2.220287
491.5461,2.870529
492.0282,2.816711
492.5103,2.466896
492.9925,2.020935
493.4746,1.497955
493.9567,0.949631
494.4388,0.32449
494.9209,0.066246003
495.403,0.446434
495.8852,1.477264
496.3673,2.043919
496.8494,1.300007
497.3315,0.386246
497.8136,0.527641
498.2957,1.499062
498.7779,2.365688
499.26,2.623249
499.7421,2.612892
500.2242,2.610764
500.7063,2.712852
501.1884,2.559605
501.6706,1.499428
502.1527,0.369793
502.6348,0.039799001
503.1169,1.832489
503.599,2.971035
504.0811,2.844128
504.5633,1.816525
505.0454,1.220001
505.5275,1.1577
506.0096,1.367424
506.4917,1.930031
506.9738,2.941967
507.456,3.017372
507.9381,1.890388
508.4202,0.539932
508.9023,0.023964001
509.3844,0.16293
509.8665,0.482655
510.3487,0.811607
510.8308,1.236675
511.3129,2.118618
511.795,3.31905
512.2772,4.161629
512.7593,4.176182
513.2414,3.693638
513.7235,2.969738
514.2056,2.032078
514.6877,1.230957
515.1699,0.702744
515.652,0.459225
516.1341,0.565475
516.6162,1.289116
517.0983,1.827698
517.5804,1.719624
518.0626,1.323818
518.5447,1.257206
519.0268,2.267422
519.5089,2.905518
519.991,2.605877
520.4731,1.459801
520.9553,0.954784
521.4374,1.389172
521.9195,2.023422
522.4016,2.482048
522.8837,2.750282
523.3658,2.917175
523.848,2.996532
524.3301,2.948349
524.8122,2.558758
525.2943,1.870152
525.7764,1.606846
526.2585,2.151722
526.7407,3.016907
527.2228,3.159729
527.7049,2.727745
528.187,2.574738
528.6691,3.824257
529.1512,5.322311
529.6334,5.545982
530.1155,4.354691
530.5976,3.100861
531.0797,2.367832
531.5618,2.067623
532.0439,2.167229
532.5261,3.329132
533.0082,3.923843
533.4903,2.789993
533.9724,0.825245
534.4545,0.059006002
534.9366,2.338974
535.4188,4.099438
535.9009,4.29454
536.383,2.972324
536.8651,2.267307
537.3472,2.415112
537.8293,2.717335
538.3115,2.727158
538.7936,2.428196
539.2757,2.037121
539.7578,1.498634
540.2399,1.063171
540.722,1.142586
541.2042,1.660503
541.6863,2.194195
542.1684,2.672951
542.6505,3.037411
543.1326,3.081909
543.6147,2.90258
544.0969,2.871235
544.579,3.396996
545.0611,4.033245
545.5432,4.490627
546.0253,4.750957
546.5074,4.650131
546.9896,3.686531
547.4717,2.574791
547.9538,1.888691
548.4359,1.77533
548.918,2.034267
549.4001,3.038677
549.8823,4.28479
550.3644,4.887398
550.8465,4.531105
551.3286,4.12764
551.8107,3.869724
552.2928,3.749374
552.775,3.799946
553.2571,4.104511
553.7392,4.184616
554.2213,3.505535
554.7034,2.254128
555.1855,1.51569
555.6677,1.373642
556.1498,1.502575
556.6319,1.57428
557.114,1.660561
557.5961,1.933556
558.0782,2.552673
558.5604,3.187527
559.0425,3.626167
559.5246,3.874466
560.0067,3.938866
560.4888,3.800102
560.9709,3.496037
561.4531,2.912563
561.9352,2.053341
562.4173,1.506737
562.8994,1.312157
563.3815,1.480633
563.8636,2.137905
564.3458,3.782703
564.8279,4.482746
565.31,3.872444
565.7921,2.788815
566.2742,2.429699
566.7563,2.913555
567.2385,2.83477
567.7206,1.595272
568.2027,0.000179
568.6848,0.080654003
569.1669,1.63121
569.649,3.110611
570.1312,3.809315
570.6133,3.939529
571.0954,3.609486
571.5775,2.853176
572.0596,2.179516
572.5417,1.856873
573.0239,1.786091
573.506,1.950123
573.9881,2.560886
574.4702,2.978127
574.9523,2.834251
575.4344,2.428448
575.9166,2.141644
576.3987,2.081741
576.8808,2.034073
577.3629,1.861061
577.845,1.634567
578.3271,1.84903
578.8093,2.752411
579.2914,3.437763
579.7735,3.492023
580.2556,2.990547
580.7377,2.715431
581.2198,2.707024
581.702,2.683849
582.1841,2.199978
582.6662,1.530846
583.1483,1.426147
583.6304,2.076435
584.1125,2.811325
584.5947,3.071548
585.0768,3.045933
585.5589,3.001949
586.041,2.94981
586.5231,2.98933
587.0052,3.261398
587.4873,3.665565
587.9694,3.957462
588.4515,4.093372
588.9337,4.032425
589.4158,3.715935
589.8979,3.166187
590.38,3.104935
590.8621,3.812019
591.3442,4.441513
591.8264,4.414764
592.3085,3.681854
592.7906,3.259151
593.2727,3.235905
593.7548,3.307293
594.2369,3.129025
594.7191,2.697666
595.2012,2.281178
595.6833,1.87574
596.1654,1.624611
596.6475,1.881378
597.1296,2.413265
597.6118,2.729012
598.0939,2.527996
598.576,2.162849
599.0581,1.698296
599.5402,1.186935
600.0223,0.939034
600.5045,1.178127
600.9866,1.570045
601.4687,2.019447
601.9508,2.606953
602.4329,2.88089
602.915,2.741219
603.3972,2.42326
603.8793,2.140495
604.3614,1.904373
604.8435,1.512054
605.3256,0.861198
605.8077,0.237637
606.2899,0.170094
606.772,0.562469
607.2541,0.968384
607.7362,1.190315
608.2183,1.377628
608.7004,1.839657
609.1826,2.448589
609.6647,2.74522
610.1468,2.248604
610.6289,1.572315
611.111,1.028694
611.5931,0.630756
612.0753,0.447979
612.5574,0.592136
