WavwNum_Magnesiochromite,value_Magnesiochromite
238.677,18.29785
239.159,40.63876
239.641,47.82013
240.124,30.31149
240.606,8.780945
241.088,2.266724
241.57,0.467041
242.052,6.705627
242.534,18.15045
243.016,33.80173
243.498,40.91269
243.981,34.69952
244.463,25.32431
244.945,20.56912
245.427,23.26984
245.909,24.95853
246.391,23.80521
246.873,20.1409
247.355,19.36163
247.837,24.35529
248.32,28.9151
248.802,27.67297
249.284,17.10391
249.766,7.894806
250.248,0.802155
250.73,4.057434
251.212,4.451141
251.694,2.379211
252.176,10.39481
252.659,14.677
253.141,13.13974
253.623,12.52954
254.105,13.82291
254.587,16.91873
255.069,20.05707
255.551,23.32288
256.033,26.57617
256.516,29.96558
256.998,34.25934
257.48,36.82742
257.962,36.76953
258.444,34.34427
258.926,33.07986
259.408,34.45575
259.89,34.85165
260.372,30.66663
260.855,18.21082
261.337,8.769196
261.819,3.667603
262.301,2.892456
262.783,7.435455
263.265,19.88937
263.747,33.5011
264.229,43.93121
264.711,52.11377
265.194,53.32156
265.676,43.81036
266.158,26.08871
266.64,15.9664
267.122,15.30545
267.604,18.81992
268.086,22.80411
268.569,27.45248
269.051,31.87576
269.533,35.22614
270.015,38.19464
270.497,46.29019
270.979,63.10129
271.461,76.32394
271.943,74.51361
272.425,54.60635
272.908,35.53156
273.39,18.30557
273.872,4.446381
274.354,1.544952
274.836,12.60214
275.318,25.45187
275.8,29.95969
276.282,24.70123
276.764,23.65466
277.247,30.72421
277.729,42.46851
278.211,46.37595
278.693,41.56561
279.175,33.07394
279.657,22.34619
280.139,8.627075
280.621,0.083282001
281.103,2.699188
281.586,0.358429
282.068,10.83963
282.55,30.24753
283.032,46.47961
283.514,49.07184
283.996,38.47711
284.478,31.03931
284.96,29.94318
285.443,31.53275
285.925,26.22516
286.407,13.66144
286.889,2.753357
287.371,0.591797
287.853,5.988373
288.335,9.278656
288.817,8.607086
289.299,7.512146
289.782,12.68811
290.264,23.93112
290.746,33.6181
291.228,37.30161
291.71,35.09528
292.192,28.8024
292.674,17.9639
293.156,7.020172
293.638,4.776123
294.121,10.30865
294.603,15.98434
295.085,18.06183
295.567,17.1553
296.049,14.44061
296.531,9.779144
297.013,4.5755
297.496,0.733124
297.978,5.449921
298.46,7.253723
298.942,3.336121
299.424,4.192596
299.906,10.95947
300.388,16.66248
300.87,21.23337
301.352,24.51297
301.835,26.54764
302.317,27.43039
302.799,26.52914
303.281,24.76999
303.763,22.6539
304.245,20.08286
304.727,19.22781
305.209,25.10086
305.691,33.97754
306.174,38.43451
306.656,30.50961
307.138,19.79639
307.62,16.74072
308.102,21.38486
308.584,24.87256
309.066,19.70959
309.548,10.61151
310.03,3.485199
310.513,0.804443
310.995,1.46756
311.477,3.486938
311.959,13.56967
312.441,24.13354
312.923,36.99011
313.405,47.15985
313.887,49.21634
314.37,31.64011
314.852,15.62799
315.334,15.41702
315.816,27.69144
316.298,34.71872
316.78,21.1842
317.262,3.756866
317.744,4.525665
318.226,6.975159
318.709,18.45093
319.191,23.70013
319.673,23.78036
320.155,22.32147
320.637,19.17639
321.119,15.53027
321.601,12.16766
322.083,7.835785
322.565,6.183319
323.048,9.365845
323.53,15.74948
324.012,21.47449
324.494,28.35251
324.976,32.44012
325.458,30.77887
325.94,16.23257
326.422,10.79474
326.905,26.74493
327.387,50.84341
327.869,60.78537
328.351,37.64938
328.833,18.27026
329.315,14.12912
329.797,31.93286
330.279,40.76447
330.762,36.01547
331.244,24.77884
331.726,15.63824
332.208,8.270844
332.69,3.55069
333.172,1.683136
333.654,2.681885
334.136,6.717041
334.618,17.74539
335.1,27.55038
335.583,26.83276
336.065,9.588623
336.547,3.015167
337.029,6.747131
337.511,2.34021
337.993,3.625366
338.475,11.75772
338.957,19.85559
339.44,27.58981
339.922,35.5553
340.404,38.07758
340.886,31.96133
341.368,21.01202
341.85,19.61963
342.332,29.59824
342.814,39.31253
343.297,39.60736
343.779,30.92557
344.261,25.59906
344.743,26.06851
