WavwNum_Pyrite,value_Pyrite
465.9694,0.38154
466.4515,0.380729
466.9336,0.412758
467.4157,0.450343
467.8979,0.467868
468.38,0.461324
468.8621,0.4202
469.3442,0.309374
469.8263,0.15765
470.3084,0.082822002
470.7906,0.117774
471.2727,0.182012
471.7548,0.243164
472.2369,0.298367
472.719,0.385921
473.2011,0.541178
473.6833,0.663584
474.1654,0.593508
474.6475,0.319345
475.1296,0.125249
475.6117,0.095338002
476.0938,0.16326
476.576,0.177515
477.0581,0.135977
477.5402,0.092444003
478.0223,0.074146003
478.5044,0.087684996
478.9865,0.176833
479.4687,0.354398
479.9508,0.481877
480.4329,0.347986
480.915,0.105587
481.3971,0.010842
481.8792,0.199817
482.3614,0.421745
482.8435,0.436903
483.3256,0.302275
483.8077,0.193949
484.2898,0.150273
484.7719,0.173503
485.2541,0.303658
485.7362,0.597783
486.2183,0.761429
486.7004,0.661759
487.1825,0.462943
487.6646,0.317218
488.1468,0.263298
488.6289,0.211818
489.111,0.135615
489.5931,0.043547999
490.0752,0.002389
490.5573,0.002166
491.0395,0.048066001
491.5216,0.173505
492.0037,0.378811
492.4858,0.526779
492.9679,0.601746
493.45,0.612523
493.9322,0.551068
494.4143,0.42588
494.8964,0.285058
495.3785,0.113656
495.8606,0.026752001
496.3427,0.018777
496.8249,0.10774
497.307,0.240993
497.7891,0.332148
498.2712,0.390239
498.7533,0.421458
499.2354,0.426477
499.7176,0.408853
500.1997,0.323428
500.6818,0.240003
501.1639,0.231666
501.646,0.420036
502.1281,0.531987
502.6103,0.43054
503.0924,0.202873
503.5745,0.031463001
504.0566,0.045816001
504.5387,0.067996003
505.0208,0.013589
505.503,0.116361
505.9851,0.201374
506.4672,0.241678
506.9493,0.234844
507.4314,0.156277
507.9135,0.031539999
508.3957,0.119234
508.8778,0.068166003
509.3599,0.053792998
509.842,0.139712
510.3241,0.189638
510.8062,0.225497
511.2884,0.240954
511.7705,0.252526
512.2526,0.309612
512.7347,0.408317
513.2168,0.502786
513.6989,0.604337
514.181,0.665735
514.6631,0.573876
515.1453,0.265485
515.6274,0.032396
516.1095,0.171653
516.5916,0.477777
517.0737,0.681105
517.5558,0.628741
518.038,0.522615
518.5201,0.399308
519.0022,0.271585
519.4843,0.192698
519.9664,0.184594
520.4485,0.218275
520.9307,0.299941
521.4128,0.463935
521.8949,0.516041
522.377,0.390521
522.8591,0.245054
523.3412,0.267686
523.8234,0.519876
524.3055,0.648643
524.7876,0.576857
525.2697,0.384873
525.7518,0.233808
526.2339,0.122825
526.7161,0.080548003
527.1982,0.162431
527.6803,0.317849
528.1624,0.41583
528.6445,0.458534
529.1266,0.477679
529.6088,0.497511
530.0909,0.512984
530.573,0.504169
531.0551,0.464783
531.5372,0.422163
532.0193,0.418675
532.5015,0.416894
532.9836,0.358706
533.4657,0.101522
533.9478,0.088448003
534.4299,0.078124002
534.912,0.108459
535.3942,0.226133
535.8763,0.166562
536.3584,0.118106
536.8405,0.175425
537.3226,0.39032
537.8047,0.500968
538.2869,0.474552
538.769,0.387827
539.2511,0.311673
539.7332,0.248268
540.2153,0.242568
540.6974,0.326733
541.1796,0.44087
541.6617,0.440675
542.1438,0.338544
542.6259,0.261002
543.108,0.321535
543.5901,0.430834
544.0723,0.43855
544.5544,0.348545
545.0365,0.227635
545.5186,0.055006001
546.0007,0.089454003
546.4828,0.111943
546.965,0.052239001
547.4471,0.216752
547.9292,0.353796
548.4113,0.432509
548.8934,0.409758
549.3755,0.059687
549.8577,0.1499
550.3398,0.042539999
550.8219,0.307407
551.304,0.503463
551.7861,0.491332
552.2682,0.418874
552.7504,0.325251
553.2325,0.200816
553.7146,0.183112
554.1967,0.304871
554.6788,0.453714
555.1609,0.505435
555.6431,0.46989
556.1252,0.43045
556.6073,0.403479
557.0894,0.374547
557.5715,0.318173
558.0536,0.242606
558.5358,0.171378
559.0179,0.098273002
559.5,0.048572998
559.9821,0.050317001
560.4642,0.098513
560.9464,0.160652
561.4285,0.248459
561.9106,0.322855
562.3927,0.351287
562.8748,0.303175
563.3569,0.311594
563.8391,0.469562
564.3212,0.644261
564.8033,0.716027
565.2854,0.632462
565.7675,0.547175
566.2496,0.480652
566.7318,0.423665
567.2139,0.313563
567.696,0.127034
568.1781,0.012513
568.6602,0.068511002
569.1423,0.236332
569.6245,0.304812
570.1066,0.275755
570.5887,0.218314
571.0708,0.158406
571.5529,0.1134
572.035,0.120721
572.5172,0.197363
572.9993,0.265882
573.4814,0.263895
573.9635,0.224092
574.4456,0.183158
574.9277,0.098462
575.4099,0.074028
575.892,0.21631
576.3741,0.4446
576.8562,0.533952
577.3383,0.30423
577.8204,0.125037
578.3026,0.114303
578.7847,0.267784
579.2668,0.34112
579.7489,0.309169
580.231,0.258471
580.7131,0.256757
581.1953,0.302861
581.6774,0.297715
582.1595,0.227681
582.6416,0.150175
583.1237,0.150874
583.6058,0.202023
584.088,0.212781
584.5701,0.131424
585.0522,0.045926001
585.5343,0.069922999
586.0164,0.158975
586.4985,0.205093
586.9807,0.057659999
587.4628,0.052469
587.9449,0.054382998
588.427,0.366981
588.9091,0.55097
589.3912,0.431067
589.8734,0.257153
590.3555,0.145241
590.8376,0.101249
591.3197,0.110465
591.8018,0.201815
592.2839,0.301156
592.7661,0.317128
593.2482,0.23417
593.7303,0.166235
594.2124,0.126627
594.6945,0.119133
595.1766,0.162053
595.6588,0.24659
596.1409,0.32814
596.623,0.402982
597.1051,0.453021
597.5872,0.439796
598.0693,0.374653
598.5515,0.315951
599.0336,0.318928
599.5157,0.317923
599.9978,0.275571
600.4799,0.182254
600.962,0.098362997
601.4442,0.014116
601.9263,0.039889999
602.4084,0.037944
602.8905,0.074073002
603.3726,0.136759
603.8547,0.119002
604.3369,0.069247998
604.819,0.072081998
605.3011,0.128047
605.7832,0.174658
606.2653,0.186468
606.7474,0.186056
607.2296,0.25608
607.7117,0.372572
608.1938,0.431836
608.6759,0.280216
609.158,0.063864
609.6401,0.005316
610.1223,0.072140999
610.6044,0.157896
611.0865,0.157636
611.5686,0.14278
612.0507,0.181744
612.5328,0.327574
613.015,0.405449
613.4971,0.30769
613.9792,0.165057
614.4613,0.114663
614.9434,0.222296
615.4255,0.291739
615.9077,0.297607
616.3898,0.260181
616.8719,0.219325
617.354,0.173139
617.8361,0.126826
618.3182,0.069366001
618.8004,0.021475
619.2825,0.063721001
619.7646,0.183241
620.2467,0.268983
620.7288,0.208186
621.2109,0.096257001
621.6931,0.038208
622.1752,0.040786002
622.6573,0.079044998
623.1394,0.203525
623.6215,0.319133
624.1036,0.343949
624.5858,0.202238
625.0679,0.090424001
625.55,0.018158
626.0321,0.01062
626.5142,0.026369
626.9963,0.185179
627.4785,0.253652
627.9606,0.162391
628.4427,0.0033859999
