WavwNum_Magnetite,value_Magnetite
732.2107,0.069977
732.6928,0.026250999
733.1749,0.18415
733.657,0.244118
734.1392,0.135197
734.6213,0.10008
735.1034,0.21245
735.5855,0.363954
736.0676,0.295064
736.5497,0.023879999
737.0319,0.167701
737.514,0.157227
737.9961,0.058529999
738.4782,0.0026829999
738.9603,0.033860002
739.4424,0.053986002
739.9246,0.094366997
740.4067,0.103295
740.8888,0.033135001
741.3709,0.094912998
741.853,0.184852
742.3351,0.218894
742.8173,0.236059
743.2994,0.251542
743.7815,0.259693
744.2636,0.21137
744.7457,0.100083
745.2278,0.022453999
745.71,0.077420004
746.1921,0.186865
746.6742,0.186374
747.1563,0.090527996
747.6384,0.00031199999
748.1205,0.0073230001
748.6027,0.002938
749.0848,0.065397002
749.5669,0.204142
750.049,0.219676
750.5311,0.027236
751.0132,0.273764
751.4954,0.40719
751.9775,0.42292
752.4596,0.375267
752.9417,0.247489
753.4238,0.137942
753.9059,0.146584
754.3881,0.228632
754.8702,0.286985
755.3523,0.314496
755.8344,0.274854
756.3165,0.012412
756.7986,0.250284
757.2808,0.279588
757.7629,0.049376
758.245,0.267094
758.7271,0.237335
759.2092,0.122279
759.6913,0.012967
760.1735,0.108763
760.6556,0.128446
761.1377,0.01543
761.6198,0.113821
762.1019,0.109569
762.584,0.014804
763.0662,0.027641
763.5483,0.013564
764.0304,0.065834001
764.5125,0.068428002
764.9946,0.047162998
765.4767,0.034897
765.9589,0.075696997
766.441,0.060017999
766.9231,0.093177997
767.4052,0.272364
767.8873,0.353668
768.3694,0.302022
768.8516,0.290896
769.3337,0.349502
769.8158,0.429209
770.2979,0.460358
770.78,0.451687
771.2621,0.434813
771.7443,0.419066
772.2264,0.394955
772.7085,0.335413
773.1906,0.267745
773.6727,0.23265
774.1548,0.322629
774.637,0.343363
775.1191,0.168951
775.6012,0.050120998
776.0833,0.048742998
776.5654,0.244368
777.0475,0.453817
777.5297,0.492999
778.0118,0.448188
778.4939,0.46541
778.976,0.531466
779.4581,0.60161
779.9402,0.687732
780.4224,0.729595
780.9045,0.618208
781.3866,0.436712
781.8687,0.342645
782.3508,0.485005
782.8329,0.588784
783.3151,0.5671
783.7972,0.487343
784.2793,0.522394
784.7614,0.707253
785.2435,0.804673
785.7256,0.713869
786.2077,0.547566
786.6898,0.552697
787.1719,0.685572
787.6541,0.786744
788.1362,0.776854
788.6183,0.720776
789.1004,0.619267
789.5825,0.504894
790.0646,0.461954
790.5468,0.616427
