WavwNum_Pyrolusite,value_Pyrolusite
368.6064,2.882938
369.0885,1.417284
369.5706,0.503534
370.0527,0.420948
370.5349,0.68837
371.017,1.029959
371.4991,1.63493
371.9812,1.862425
372.4633,1.440788
372.9454,0.631723
373.4276,0.322985
373.9097,0.71236
374.3918,1.229939
374.8739,1.685221
375.356,2.068119
375.8381,2.324631
376.3203,2.471689
376.8024,2.463678
377.2845,2.154882
377.7666,1.470829
378.2487,0.978334
378.7308,0.825605
379.213,0.979416
379.6951,1.296333
380.1772,1.81464
380.6593,2.32609
381.1414,2.688196
381.6235,2.889736
382.1057,2.811228
382.5878,2.27656
383.0699,1.658171
383.552,1.822838
384.0341,2.692604
384.5162,3.449713
384.9984,3.433321
385.4805,2.959358
385.9626,2.712337
386.4447,2.820446
386.9268,3.00683
387.4089,2.934744
387.8911,2.697905
388.3732,2.548347
388.8553,2.649431
389.3374,2.846918
389.8195,3.028021
390.3016,3.18438
390.7838,3.267841
391.2659,3.225342
391.748,3.106266
392.2301,2.935024
392.7122,2.519915
393.1943,2.319649
393.6765,2.861338
394.1586,3.837626
394.6407,4.365519
395.1228,3.703083
395.6049,2.871483
396.087,2.423294
396.5692,2.60327
397.0513,2.576942
397.5334,1.820034
398.0155,0.886602
398.4976,0.481077
398.9797,1.16497
399.4619,1.847807
399.944,2.343624
400.4261,2.652441
400.9082,2.909721
401.3903,3.255932
401.8724,3.416519
402.3546,3.153521
402.8367,2.098358
403.3188,1.44416
403.8009,1.371922
404.283,1.689091
404.7651,1.949999
405.2473,2.194345
405.7294,2.256479
406.2115,1.926641
406.6936,1.18224
407.1757,1.067682
407.6578,1.770466
408.14,2.595388
408.6221,2.64925
409.1042,1.951019
409.5863,1.37743
410.0684,1.22673
410.5505,0.7740844
411.0327,0.996477
411.5148,0.345058
411.9969,0.167942
412.479,0.064833
412.9611,0.426758
413.4432,0.766323
413.9254,0.879351
414.4075,0.854437
414.8896,0.708115
415.3717,0.51189
415.8538,0.374201
416.3359,0.360682
416.8181,0.429241
417.3002,0.557833
417.7823,0.743456
418.2644,0.904011
418.7465,1.028811
419.2286,1.092051
419.7108,1.065735
420.1929,0.909885
420.675,0.708677
421.1571,0.465565
421.6392,0.197481
422.1213,0.047460999
422.6035,0.073352799
423.0856,0.646854
423.5677,0.427986
424.0498,0.454773
424.5319,0.963734
425.014,0.638069
425.4962,0.089102
425.9783,0.048903
426.4604,0.750265
426.9425,1.169979
427.4246,0.847748
427.9067,0.072733
428.3889,0.566111
428.871,0.534239
429.3531,0.251553
429.8352,0.276562
430.3173,1.149445
430.7994,1.475046
431.2816,1.120623
431.7637,0.469656
432.2458,0.108028
432.7279,0.042739999
433.21,0.160891
433.6921,0.570972
434.1743,0.435084
434.6564,1.041374
435.1385,0.334818
435.6206,0.293819
436.1027,0.020575
436.5848,0.814962
437.067,1.240469
437.5491,0.966772
438.0312,0.501411
438.5133,0.397751
438.9954,0.569168
439.4775,0.774828
439.9597,0.997568
440.4418,1.132332
440.9239,1.041386
441.406,0.717047
441.8881,0.378529
442.3702,0.14249
442.8524,0.039692
443.3345,0.222494
443.8166,0.092385173
444.2987,0.800165
444.7808,0.330589
445.2629,0.535135
445.7451,1.109369
446.2272,1.013128
446.7093,0.795877
447.1914,0.661739
447.6735,0.659544
448.1556,0.597157
448.6378,0.364367
449.1199,0.14566
449.602,0.13693
450.0841,0.41997
450.5662,0.756376
451.0483,1.192343
451.5305,1.652691
452.0126,1.73904
452.4947,1.335182
452.9768,0.918552
453.4589,0.782417
453.941,0.934666
454.4232,0.99087
454.9053,0.922775
455.3874,0.823618
455.8695,0.792524
456.3516,0.828485
456.8337,0.943207
457.3159,1.174351
457.798,1.45455
458.2801,1.7003
458.7622,1.902658
459.2443,2.002729
459.7264,1.855927
460.2086,1.62163
460.6907,1.501417
461.1728,1.524734
461.6549,1.660269
462.137,2.008434
462.6191,2.427807
463.1013,2.702219
463.5834,2.732922
464.0655,2.620096
464.5476,2.317581
465.0297,1.86137
465.5118,1.522528
465.994,1.425501
466.4761,1.433641
466.9582,1.478754
467.4403,1.583834
467.9224,1.679266
468.4045,1.874508
468.8867,2.013023
469.3688,1.824238
469.8509,0.992538
470.333,0.407803
470.8151,0.379179
471.2972,0.818602
471.7794,0.847559
472.2615,0.298754
472.7436,0.205362
473.2257,0.143328
473.7078,0.497744
474.1899,0.928152
474.6721,1.0686
475.1542,1.051859
475.6363,1.078566
476.1184,1.130112
476.6005,1.083809
477.0826,0.822472
477.5648,0.473896
478.0469,0.222586
478.529,0.067988999
479.0111,0.0076009999
479.4932,0.116072
479.9753,0.275137
480.4575,0.341728
480.9396,0.297779
481.4217,0.220846
481.9038,0.120705
482.3859,0.0060919998
482.868,0.061245002
483.3502,0.073091999
483.8323,0.033663001
484.3144,0.135193
484.7965,0.40221
485.2786,0.554668
485.7607,0.500124
486.2429,0.324881
486.725,0.068094
487.2071,0.518105
487.6892,0.556715
488.1713,0.294802
488.6534,1.416302
489.1356,1.874435
489.6177,1.426138
490.0998,1.004164
490.5819,0.793793
491.064,0.800707
491.5461,1.109922
492.0283,1.775888
492.5104,2.330612
492.9925,2.309248
493.4746,1.823755
493.9567,1.667799
494.4388,1.932812
494.921,2.291021
495.4031,2.466187
495.8852,2.453718
496.3673,2.226309
496.8494,1.41395
497.3315,0.731705
497.8137,1.112232
498.2958,2.303963
498.7779,3.257141
499.26,3.370363
499.7421,3.091103
500.2242,2.643787
500.7064,1.968288
501.1885,1.493708
501.6706,1.366219
502.1527,1.491873
502.6348,1.80368
503.1169,2.722584
503.5991,3.277191
504.0812,3.13201
504.5633,2.521584
505.0454,2.350203
505.5275,2.88875
506.0096,3.406088
506.4918,3.594147
506.9739,3.423923
507.456,3.260103
507.9381,3.090969
508.4202,2.973797
508.9023,2.960827
509.3845,3.050751
509.8666,3.272005
510.3487,3.692648
510.8308,4.131021
511.3129,4.183779
511.795,3.944258
512.2772,3.841669
512.7593,4.224792
513.2414,4.803846
513.7235,5.2139
514.2056,5.456352
514.6877,5.746319
515.1699,6.353146
515.652,7.001074
516.1341,7.409273
516.6162,7.357908
517.0983,7.375626
517.5804,7.619318
518.0626,8.046135
518.5447,8.58596
519.0268,9.37088
519.5089,10.11835
519.991,10.80535
520.4731,11.42609
520.9553,11.79597
521.4374,11.67513
521.9195,11.65479
522.4016,12.14616
522.8837,13.29778
523.3658,14.12578
523.848,14.54643
524.3301,14.80697
524.8122,15.17546
525.2943,15.65309
525.7764,16.33248
526.2585,17.3609
526.7407,18.46446
527.2228,19.09838
527.7049,19.33305
528.187,19.55965
528.6691,20.04578
529.1512,20.64575
529.6334,21.21535
530.1155,21.74916
530.5976,22.17382
531.0797,22.37851
531.5618,22.54353
532.0439,22.82764
532.5261,23.48067
533.0082,24.03436
533.4903,24.44758
533.9724,24.63007
534.4545,24.4233
534.9366,23.4625
535.4188,22.53395
535.9009,21.83456
536.383,21.3677
536.8651,20.79176
537.3472,20.09955
537.8293,19.32772
538.3115,18.50711
538.7936,17.68687
539.2757,16.77163
539.7578,15.69838
540.2399,14.60361
540.722,13.65742
541.2042,12.86982
541.6863,12.17999
542.1684,11.52203
542.6505,10.9967
543.1326,10.90222
543.6147,11.12214
544.0969,11.18197
544.579,10.63938
545.0611,9.890499
545.5432,9.313719
546.0253,8.979237
546.5074,8.664577
546.9896,8.231997
547.4717,7.821791
547.9538,7.552778
548.4359,7.686035
548.918,7.628012
549.4001,7.119171
549.8823,6.498264
550.3644,6.228313
550.8465,6.463669
551.3286,6.761431
551.8107,7.07513
552.2928,7.369967
552.775,7.320442
553.2571,6.856297
553.7392,6.394985
554.2213,6.206575
554.7034,6.259855
555.1855,6.352764
555.6677,6.466389
556.1498,6.689882
556.6319,6.849476
557.114,7.166187
557.5961,7.352707
558.0782,7.416033
558.5604,7.488228
559.0425,7.481386
559.5246,7.383369
560.0067,7.348642
560.4888,7.204819
560.9709,7.074629
561.4531,7.0042
561.9352,6.995535
562.4173,7.051897
562.8994,7.290068
563.3815,7.498369
563.8636,7.559893
564.3458,7.392967
564.8279,7.295877
565.31,7.270271
565.7921,7.311462
566.2742,7.271173
566.7563,7.493883
567.2385,7.586359
567.7206,7.555653
568.2027,7.032515
568.6848,7.145369
569.1669,7.003439
569.649,6.851124
570.1312,7.053648
570.6133,6.602449
571.0954,6.799484
571.5775,6.737848
572.0596,6.794701
572.5417,6.595177
573.0239,6.474903
573.506,6.093094
573.9881,5.709854
574.4702,5.359489
574.9523,5.043737
575.4344,4.789768
575.9166,4.638405
576.3987,4.811375
576.8808,4.781561
577.3629,4.386673
577.845,3.759581
578.3271,3.335674
578.8093,3.154516
579.2914,3.063944
579.7735,3.04623
580.2556,3.079853
580.7377,3.021233
581.2198,2.875772
581.702,2.566904
582.1841,1.81134
582.6662,0.865879
583.1483,0.388216
583.6304,0.527674
584.1125,0.833862
584.5947,1.020853
585.0768,1.091654
585.5589,1.046856
586.041,0.720654
586.5231,0.466997
587.0052,0.506641
587.4874,0.738029
587.9695,0.886673
588.4516,1.029181
588.9337,0.942301
589.4158,1.067174
589.8979,0.9705722
590.3801,1.000723
590.8622,0.785025
591.3443,0.764916
591.8264,0.334703
592.3085,0.511372
592.7906,0.455437
593.2728,0.109402
593.7549,0.319193
594.237,0.716188
594.7191,1.017546
595.2012,0.905869
595.6833,1.069645
596.1655,0.735954
596.6476,0.8634
597.1297,0.481928
597.6118,0.072493002
598.0939,0.250536
598.576,0.451973
599.0582,0.485891
599.5403,0.363773
600.0224,0.197634
600.5045,0.145548
600.9866,0.386898
