WavwNum_Zoisite,value_Zoisite
253.3545,453.8354
253.8366,504.6494
254.3187,564.583
254.8008,617.6885
255.2829,663.1855
255.7651,703.6016
256.2472,739.979
256.7293,772.6016
257.2114,798.9551
257.6935,816.2847
258.1756,830.082
258.6577,849.6938
259.1399,884.624
259.622,904.8354
260.1041,902.5332
260.5862,876.8608
261.0683,830.8018
261.5504,753.7661
262.0326,667.6924
262.5147,603.5508
262.9968,570.1792
263.4789,537.8984
263.961,497.5054
264.4431,447.2734
264.9253,399.0312
265.4074,349.7998
265.8895,304.5103
266.3716,273.2798
266.8537,261.1079
267.3358,252.1299
267.818,240.6831
268.3001,225.9917
268.7822,213.7852
269.2643,201.7881
269.7464,194.5835
270.2285,200.0259
270.7107,220.4731
271.1928,247.2012
271.6749,276.7412
272.157,308.6426
272.6391,346.3457
273.1212,392.1426
273.6034,440.395
274.0855,482.4014
274.5676,517.4697
275.0497,549.498
275.5318,578.021
276.0139,602.9326
276.4961,634.7231
276.9782,675.9395
277.4603,719.7803
277.9424,752.0596
278.4245,770.603
278.9066,795.5635
279.3888,839.542
279.8709,902.7739
280.353,952.2847
280.8351,985.2656
281.3172,1010.749
281.7993,1042.65
282.2815,1081.712
282.7636,1117.44
283.2457,1145.419
283.7278,1165.933
284.2099,1184.366
284.692,1202.55
285.1741,1213.599
285.6563,1203.98
286.1384,1173.873
286.6205,1142.261
287.1026,1122.462
287.5847,1110.104
288.0668,1073.868
288.549,1008.261
289.0311,938.7842
289.5132,899.1396
289.9953,888.1313
290.4774,887.3018
290.9595,895.1597
291.4417,905.2949
291.9238,898.8149
292.4059,873.4946
292.888,851.3857
293.3701,858.3213
293.8522,891.6582
294.3344,937.5454
294.8165,997.8965
295.2986,1067.271
295.7807,1125.925
296.2628,1171.293
296.7449,1220.747
297.2271,1294.143
297.7092,1387.923
298.1913,1490.015
298.6734,1592.383
299.1555,1699.463
299.6376,1819.286
300.1198,1953.144
300.6019,2089.56
301.084,2205.823
301.5661,2314.618
302.0482,2444.771
302.5303,2618.757
303.0125,2816.033
303.4946,3018.78
303.9767,3225.217
304.4588,3431.939
304.9409,3630.985
305.423,3824.085
305.9052,4021.184
306.3873,4231.195
306.8694,4442.311
307.3515,4644.951
307.8336,4837.774
308.3157,5012.833
308.7979,5176.158
309.28,5314.201
309.7621,5408.328
310.2442,5452.2
310.7263,5449.468
311.2084,5404.807
311.6906,5317.52
312.1727,5180.743
312.6548,4980.591
313.1369,4730.029
313.619,4448.273
314.1011,4108.797
314.5833,3766.104
315.0654,3435.966
315.5475,3117.95
316.0296,2830.738
316.5117,2585.122
316.9938,2372.437
317.476,2184.438
317.958,2033.892
318.4402,1896.069
318.9223,1760.293
319.4044,1629.404
319.8865,1524.687
320.3686,1466.24
320.8507,1425.133
321.3329,1382.479
321.815,1321.603
322.2971,1275.435
322.7792,1261.221
323.2613,1269.843
323.7434,1265.142
324.2256,1221.095
324.7077,1178.845
325.1898,1157.778
325.6719,1165.893
326.154,1186.784
326.6361,1229.197
327.1183,1285.363
327.6004,1330.982
