WavwNum_Anatase,value_Anatase
342.9765,25.92975
343.4586,19.35315
343.9407,13.80597
344.4229,10.36938
344.905,8.579773
345.3871,7.465881
345.8692,7.237427
346.3513,6.330383
346.8334,3.116394
347.3156,2.213135
347.7977,7.470581
348.2798,12.33228
348.7619,16.88043
349.244,21.01282
349.7261,24.80481
350.2083,29.56964
350.6904,36.34534
351.1725,44.91913
351.6546,55.04852
352.1367,67.74524
352.6188,79.83392
353.101,84.73572
353.5831,83.82593
354.0652,84.62891
354.5473,93.19659
355.0294,106.2978
355.5115,119.2726
355.9937,131.5276
356.4758,142.7103
356.9579,151.3265
357.44,158.4126
357.9221,166.6249
358.4042,179.8697
358.8864,193.6222
359.3685,202.3796
359.8506,203.2656
360.3327,206.8216
360.8148,220.3562
361.2969,240.9406
361.7791,263.1923
362.2612,285.0928
362.7433,307.8796
363.2254,333.3163
363.7075,363.201
364.1896,388.7863
364.6718,404.6697
365.1539,415.5476
365.636,427.6357
366.1181,438.7062
366.6002,454.7361
367.0823,478.6785
367.5645,511.5756
368.0466,546.254
368.5287,585.2313
369.0108,623.8608
369.4929,656.897
369.975,676.0472
370.4571,698.2954
370.9392,724.4585
371.4214,754.4056
371.9035,795.0594
372.3856,855.6419
372.8677,919.212
373.3498,972.4957
373.8319,1010.476
374.3141,1045.546
374.7962,1075.108
375.2783,1101.529
375.7604,1144.378
376.2425,1210.603
376.7246,1280.938
377.2068,1340.923
377.6889,1388.236
378.171,1436.927
378.6531,1487.275
379.1352,1540.389
379.6173,1600.488
380.0995,1670.946
380.5816,1735.78
381.0637,1781.743
381.5458,1809.909
382.0279,1849.493
382.51,1904.326
382.9922,1968.712
383.4743,2036.664
383.9564,2107.942
384.4385,2177.293
384.9206,2248.207
385.4027,2315.758
385.8849,2364.038
386.367,2388.409
386.8491,2409.451
387.3312,2454.254
387.8133,2515.209
388.2954,2570.071
388.7776,2606.74
389.2597,2633.011
389.7418,2658.979
390.2239,2684.802
390.706,2705.728
391.1881,2713.753
391.6703,2716.014
392.1524,2722.944
392.6345,2745.792
393.1166,2768.028
393.5987,2782.531
394.0808,2789.072
394.563,2784.408
395.0451,2759.097
395.5272,2725.048
396.0093,2693.132
396.4914,2677.129
396.9735,2648.677
397.4557,2595.877
397.9378,2524.066
398.4199,2453.486
398.902,2390.746
399.3841,2327.796
399.8662,2260.384
400.3484,2185.157
400.8305,2108.982
401.3126,2030.897
401.7947,1952.617
402.2768,1877.645
402.7589,1809.451
403.2411,1739.446
403.7232,1664.818
404.2053,1584.522
404.6874,1503.816
405.1695,1419.923
405.6516,1339.051
406.1338,1271.086
406.6159,1219.254
407.098,1167.005
407.5801,1108.575
408.0622,1044.074
408.5443,986.1637
409.0265,935.0445
409.5086,888.2807
409.9907,844.3561
410.4728,802.8326
410.9549,760.3225
411.437,713.9704
411.9192,667.1085
412.4013,629.9631
412.8834,602.4884
413.3655,577.2936
413.8476,545.3789
414.3297,511.7556
414.8119,489.3398
415.2939,484.1475
415.7761,483.2598
416.2582,473.0356
416.7403,454.2949
417.2224,430.5063
417.7045,396.6799
418.1866,362.1269
418.6688,336.5877
419.1509,322.847
419.633,312.5099
420.1151,301.2676
420.5972,289.964
421.0793,279.7977
421.5615,273.4231
422.0436,266.5834
422.5257,256.7775
423.0078,243.6323
423.4899,231.0121
423.972,219.3
424.4542,209.1234
424.9363,201.2985
425.4184,199.4668
425.9005,196.058
426.3826,188.514
426.8647,177.2865
427.3469,169.0502
