WavwNum_Lepidocrocite,value_Lepidocrocite
571.196,1.22467
571.6782,0.705371
572.1603,0.137634
572.6424,0.085588999
573.1245,0.087024003
573.6066,0.262043
574.0887,0.246507
574.5709,0.19883
575.053,0.247017
575.5351,0.605381
576.0172,0.769956
576.4993,0.63815
576.9814,0.350966
577.4636,0.122454
577.9457,0.061253998
578.4278,0.13718
578.9099,0.036219001
579.392,0.16789
579.8741,0.138071
580.3563,0.148417
580.8384,0.32744
581.3205,0.189856
581.8026,0.204783
582.2847,0.350476
582.7668,0.229673
583.249,0.099119999
583.7311,0.242356
584.2132,0.4785
584.6953,0.566368
585.1774,0.407361
585.6595,0.192915
586.1417,0.117435
586.6238,0.215884
587.1058,0.188491
587.588,0.289668
588.0701,0.775782
588.5522,0.696775
589.0343,0.196164
589.5164,0.064585999
589.9985,0.026667999
590.4807,0.170635
590.9628,0.262156
591.4449,0.301157
591.927,0.288201
592.4091,0.227114
592.8912,0.096744999
593.3734,0.229103
593.8555,0.17155
594.3376,0.325432
594.8197,0.087805003
595.3018,0.196686
595.7839,0.133843
596.2661,0.381024
596.7482,0.472499
597.2303,0.303766
597.7124,0.050645001
598.1945,0.183606
598.6766,0.139546
599.1588,0.344637
599.6409,0.328372
600.123,0.246309
600.6051,0.130174
601.0872,0.022435
601.5693,0.117014
602.0515,0.139487
602.5336,0.121635
603.0157,0.057487
603.4978,0.079470001
603.9799,0.074722998
604.462,0.118824
604.9442,0.016108001
605.4263,0.045485001
605.9084,0.074955001
606.3905,0.039572999
606.8726,0.040672999
607.3547,0.43731
607.8369,0.495485
608.319,0.306173
608.8011,0.102435
609.2832,0.026976001
609.7653,0.115247
610.2474,0.118782
610.7296,0.075594001
611.2117,0.052554999
611.6938,0.013262
612.1759,0.022944
612.658,0.135113
613.1401,0.121519
613.6223,0.299539
614.1044,0.380579
614.5865,0.3959
615.0686,0.321247
615.5507,0.123482
616.0328,0.173763
616.515,0.588385
616.9971,1.06765
617.4792,1.121048
617.9613,0.827231
618.4434,0.543775
618.9255,0.377364
619.4077,0.296455
619.8898,0.288097
620.3719,0.338503
620.854,0.4033
621.3361,0.488164
621.8182,0.556901
622.3004,0.574862
622.7825,0.54188
623.2646,0.535778
623.7467,0.505651
624.2288,0.564368
624.7109,0.798776
625.1931,1.315962
625.6752,1.631418
626.1573,1.692699
626.6394,1.642758
627.1215,1.5967
627.6036,1.5531
628.0858,1.606568
628.5679,1.789758
629.05,2.028666
629.5321,2.211699
630.0142,2.356493
630.4963,2.512977
630.9785,2.758552
631.4606,2.978665
631.9427,3.006794
632.4248,2.916959
632.9069,2.945341
633.389,3.374945
633.8712,3.776772
634.3533,3.938046
634.8354,3.830382
635.3175,3.74701
635.7996,3.663974
636.2817,3.637381
636.7639,3.715576
637.246,3.910527
637.7281,4.116462
638.2102,4.319998
638.6923,4.540071
639.1744,4.906974
639.6566,5.366248
640.1387,5.555917
640.6208,5.343659
641.1029,5.043906
641.585,4.990252
642.0671,5.122337
642.5493,5.322906
643.0314,5.663327
643.5135,5.9522
643.9956,6.05476
644.4777,6.012295
644.9598,5.974472
645.442,6.011382
645.9241,6.032589
646.4062,5.995194
646.8883,5.905181
647.3704,5.899761
647.8525,6.021356
648.3347,6.161201
648.8168,6.25469
649.2989,6.305046
649.781,6.342507
650.2631,6.377957
650.7452,6.33121
651.2274,6.00241
651.7095,5.548493
652.1916,5.300063
652.6737,5.388813
653.1558,5.513405
653.6379,5.515098
654.1201,5.410653
654.6022,5.236739
655.0843,4.848442
655.5664,4.571525
656.0485,4.590482
656.5306,4.755169
657.0128,4.681836
657.4949,4.231972
657.977,3.845497
658.4591,3.629968
658.9412,3.562262
659.4233,3.569821
659.9055,3.663524
660.3876,3.720463
660.8697,3.664353
661.3518,3.521975
661.8339,3.342314
662.316,3.131321
662.7982,2.966306
663.2803,2.931196
663.7624,2.919075
664.2445,2.851006
664.7266,2.729737
665.2087,2.53741
665.6909,2.115039
666.173,1.7132
666.6551,1.552071
667.1372,1.780457
667.6193,1.988319
668.1014,2.214887
668.5836,2.385059
669.0657,2.337862
669.5478,2.045527
670.0299,1.879158
670.512,1.943783
670.9941,2.129709
671.4763,2.231883
671.9584,2.257505
672.4405,2.237029
672.9226,2.181966
673.4047,2.088996
673.8868,1.937118
674.369,1.741681
674.8511,1.551932
675.3332,1.274668
675.8153,1.111753
676.2974,1.198885
676.7795,1.5506
677.2617,1.81512
677.7438,2.009241
678.2259,2.092159
678.708,1.994762
679.1901,1.696104
679.6722,1.575471
680.1544,1.650046
680.6365,1.788945
681.1186,1.90686
681.6007,1.992113
682.0828,1.997821
682.5649,1.901805
683.0471,1.818352
683.5292,1.889765
684.0113,2.010261
684.4934,2.051217
684.9755,1.943715
685.4576,1.808412
685.9398,1.655608
686.4219,1.497522
686.904,1.344782
687.3861,1.148194
687.8682,1.062831
688.3503,1.142725
688.8325,1.327308
689.3146,1.486114
689.7967,1.620082
690.2788,1.673803
690.7609,1.645193
691.243,1.505935
691.7252,1.069152
692.2073,0.423965
692.6894,0.0080709998
693.1715,0.234491
693.6536,0.610736
694.1357,0.713674
694.6179,0.530371
695.1,0.430832
695.5821,0.62996
696.0642,0.824832
696.5463,0.875302
697.0284,0.767312
697.5106,0.589283
697.9927,0.303207
698.4748,0.036015999
698.9569,0.105171
