WavwNum_Chromite,value_Chromite
519.7231,9.155884
520.2053,8.810608
520.6874,7.979797
521.1695,7.514771
521.6516,7.750366
522.1337,8.090881
522.6158,8.137756
523.098,7.958496
523.5801,7.75885
524.0622,7.810608
524.5443,7.679199
525.0264,6.37915
525.5085,4.248108
525.9907,3.634338
526.4728,5.838745
526.9549,8.82666
527.437,9.404785
527.9191,7.161743
528.4012,5.380432
528.8834,4.489807
529.3655,4.06958
529.8476,3.998047
530.3297,4.155579
530.8118,4.331482
531.2939,4.417236
531.7761,4.400391
532.2582,4.225525
532.7403,3.616394
533.2224,3.353088
533.7045,3.588928
534.1866,3.987915
534.6688,4.527161
535.1509,5.062256
535.633,5.255005
536.1151,4.789917
536.5972,3.959351
537.0793,3.581604
537.5615,3.782959
538.0436,3.94574
538.5257,3.95813
539.0078,3.815979
539.4899,3.428406
539.972,2.822266
540.4542,2.371216
540.9363,2.407104
541.4184,2.640442
541.9005,2.562378
542.3826,2.186096
542.8647,2.084045
543.3469,2.671875
543.829,3.619873
544.3111,4.067444
544.7932,3.943298
545.2753,3.564819
545.7574,2.542114
546.2396,1.579529
546.7217,1.401611
547.2038,1.91095
547.6859,2.458191
548.168,2.585632
548.6501,2.397034
549.1323,2.346008
549.6144,2.526306
550.0965,2.745605
550.5786,3.045349
551.0607,3.280334
551.5428,3.200867
552.025,2.895325
552.5071,2.847717
552.9892,3.550049
553.4713,4.693542
553.9534,5.488342
554.4355,5.979431
554.9177,6.146362
555.3998,5.550293
555.8819,4.692688
556.364,4.485657
556.8461,5.163086
557.3282,5.665222
557.8104,4.932922
558.2925,3.929688
558.7746,4.170532
559.2567,5.546692
559.7388,6.682434
560.2209,6.789063
560.7031,6.168213
561.1852,5.687988
561.6673,5.138916
562.1494,4.997009
562.6315,5.470825
563.1136,5.96936
563.5958,6.123047
564.0779,6.07959
564.56,6.248718
565.0421,6.93512
565.5242,7.804504
566.0063,7.831726
566.4885,6.645569
566.9706,5.760559
567.4527,5.743164
567.9348,5.999207
568.4169,6.184998
568.899,6.279907
569.3812,6.34491
569.8633,6.389465
570.3454,6.437012
570.8275,6.581482
571.3096,6.806885
571.7917,6.865662
572.2739,6.631836
572.756,6.209473
573.2381,5.735779
573.7202,5.138184
574.2023,4.774109
574.6844,4.632996
575.1666,4.774292
575.6487,5.5047
576.1308,6.550659
576.6129,7.275696
577.095,7.348511
577.5771,6.910095
578.0593,6.202209
578.5414,5.018616
579.0235,4.122864
579.5056,3.494995
579.9877,3.219727
580.4698,3.548096
580.952,4.254761
581.4341,4.891235
581.9162,5.344238
582.3983,5.452759
582.8804,4.696655
583.3625,3.200317
583.8447,2.405823
584.3268,2.817444
584.8089,3.627563
585.291,3.997925
585.7731,3.990173
586.2552,4.238098
586.7374,5.122131
587.2195,5.938721
587.7016,6.508728
588.1837,6.716858
588.6658,6.201721
589.1479,4.90155
589.6301,3.46936
590.1122,2.670166
