WavwNum_Spinel,value_Spinel
245.1845,1.302734
245.6666,1.757996
246.1487,2.583008
246.6308,3.22467
247.113,3.705994
247.5951,3.975098
248.0772,3.981567
248.5593,3.644897
249.0414,3.324158
249.5235,2.989136
250.0057,2.666992
250.4878,2.439087
250.9699,2.372498
251.452,2.282043
251.9341,2.036072
252.4162,1.511475
252.8984,1.430176
253.3805,2.015625
253.8626,2.857117
254.3447,3.378418
254.8268,3.603394
255.3089,3.527222
255.7911,3.025574
256.2732,1.994202
256.7553,1.362793
257.2374,1.203064
257.7195,1.386353
258.2017,1.804016
258.6838,2.619446
259.1659,3.304016
259.648,3.75824
260.1301,3.979797
260.6122,3.898682
261.0944,3.353333
261.5765,2.726379
262.0586,2.554626
262.5407,3.233215
263.0228,3.061584
263.5049,1.350281
263.9871,1.739136
264.4692,3.318481
264.9513,2.945068
265.4334,1.7948
265.9155,0.83136
266.3976,0.091063999
266.8798,0.403076
267.3619,0.683655
267.844,0.828369
268.3261,0.79895
268.8082,0.426392
269.2903,0.182312
269.7725,0.618652
270.2546,2.024048
270.7367,2.97699
271.2188,2.977722
271.7009,2.301392
272.183,2.098877
272.6652,2.648071
273.1473,3.292175
273.6294,3.489319
274.1115,3.127869
274.5936,2.841858
275.0757,2.644287
275.5579,2.585144
276.04,2.916626
276.5221,3.757507
277.0042,4.519226
277.4863,4.612427
277.9684,4.013245
278.4506,4.174133
278.9327,5.466919
279.4148,7.267517
279.8969,7.985107
280.379,7.429565
280.8611,7.017761
281.3433,7.885498
281.8254,10.01923
282.3075,10.82959
282.7896,9.990417
283.2717,8.305908
283.7538,6.857971
284.236,5.680054
284.7181,5.019531
285.2002,5.146973
285.6823,5.983093
286.1644,6.80957
286.6465,7.641113
287.1287,8.368042
287.6108,8.763062
288.0929,8.842773
288.575,8.974915
289.0571,9.239075
289.5392,9.657043
290.0214,10.41052
290.5035,11.53094
290.9856,12.68372
291.4677,13.3847
291.9498,13.73798
292.4319,14.35687
292.9141,15.51093
293.3962,16.98657
293.8783,18.36572
294.3604,19.67999
294.8425,20.99481
295.3246,22.30298
295.8068,23.60199
296.2889,24.91132
296.771,26.36591
297.2531,27.74414
297.7352,28.25415
298.2173,28.03479
298.6995,28.36578
299.1816,30.80103
299.6637,34.40057
300.1458,37.06647
300.6279,38.23981
301.11,38.83356
301.5922,39.77301
302.0743,41.02087
302.5564,42.45343
303.0385,44.1217
303.5206,45.9137
304.0027,47.63666
304.4849,49.18262
304.967,50.86084
305.4491,53.07971
305.9312,55.65723
306.4133,58.15961
306.8954,60.23102
307.3776,62.21295
307.8597,64.315
308.3418,66.55396
308.8239,69.2218
309.306,72.73889
309.7881,76.83478
310.2703,80.96051
310.7524,85.92346
311.2345,90.18304
311.7166,92.73059
312.1987,93.53668
312.6808,92.66534
313.163,90.07812
313.6451,85.84344
314.1272,79.99524
314.6093,71.73431
315.0914,62.68341
315.5735,52.87341
316.0557,42.66296
316.5378,33.94775
317.0199,27.83838
317.502,23.37469
317.9841,19.84473
318.4662,17.52948
318.9484,15.60815
319.4305,13.94214
319.9126,12.48627
320.3947,11.11853
320.8768,9.756592
321.3589,8.510559
321.8411,7.335815
322.3232,6.484741
322.8053,5.454712
323.2874,3.795715
323.7695,1.990356
324.2516,0.806641
324.7338,0.569092
325.2159,0.720337
325.698,1.340088
326.1801,2.725769
326.6622,3.183411
327.1443,1.562866
327.6265,0.558716
328.1086,1.619751
328.5907,0.230286
329.0728,0.680542
329.5549,0.447327
330.037,0.94519
330.5192,1.855164
331.0013,2.05188
331.4834,1.967224
331.9655,1.877869
332.4476,1.677917
332.9297,1.69104
333.4119,2.237061
333.894,3.054749
334.3761,2.812134
334.8582,0.710815
335.3403,1.168213
335.8224,1.603088
336.3046,0.119446
336.7867,1.129578
337.2688,1.104431
337.7509,0.557129
338.233,0.603943
338.7151,1.472961
339.1973,2.21814
339.6794,2.511963
340.1615,2.344849
340.6436,1.696533
341.1257,0.382568
341.6078,1.02533
342.0899,1.717957
342.5721,1.639648
343.0542,1.576843
343.5363,1.703552
344.0184,2.040955
344.5005,2.882263
344.9826,4.32666
345.4648,5.527832
345.9469,5.295105
346.429,3.872192
346.9111,3.283752
347.3932,4.091797
347.8753,5.659363
348.3575,6.680481
348.8396,7.208008
349.3217,8.001038
349.8038,9.838318
350.2859,12.29102
350.768,14.29993
351.2502,15.68079
351.7323,16.8139
352.2144,18.16479
352.6965,19.64258
353.1786,20.93652
353.6607,21.84009
354.1429,22.51202
354.625,23.01123
355.1071,23.33557
355.5892,23.94836
356.0713,25.68347
356.5534,27.84821
357.0356,29.40515
357.5177,29.315
357.9998,29.05365
358.4819,29.79755
358.964,31.38007
359.4461,32.8606
359.9283,33.2146
360.4104,33.53442
360.8925,34.828
361.3746,37.97028
361.8567,40.96722
362.3388,42.35632
362.821,42.97351
363.3031,44.74847
363.7852,50.25085
364.2673,55.46185
364.7494,58.3454
365.2315,58.13568
365.7137,57.63605
366.1958,57.0343
366.6779,56.55469
367.16,56.45425
367.6421,56.49493
368.1242,57.19583
368.6064,58.8028
369.0885,61.36597
369.5706,64.07397
370.0527,67.54358
370.5348,70.7049
371.0169,72.82129
371.4991,72.87195
371.9812,73.59613
372.4633,75.34647
372.9454,77.90311
373.4275,80.49051
373.9096,83.25201
374.3918,85.84875
374.8739,87.9404
375.356,89.27911
375.8381,91.36017
376.3202,94.3096
376.8023,97.80161
377.2845,101.1685
377.7666,104.1809
378.2487,108.2097
378.7308,113.8919
379.2129,121.0158
379.695,127.6465
380.1772,133.7607
380.6593,139.7612
381.1414,145.8264
381.6235,151.9942
382.1056,159.1648
382.5877,167.5369
383.0699,176.9055
383.552,186.4512
384.0341,196.3907
384.5162,208.0272
384.9983,222.7291
385.4804,239.7343
385.9626,257.235
386.4447,274.898
386.9268,294.5582
387.4089,318.3763
387.891,345.6866
388.3731,374.5787
388.8553,403.6757
389.3374,434.4271
389.8195,468.5164
390.3016,505.3788
390.7837,543.1457
391.2658,581.1394
391.748,618.7137
392.2301,655.2646
392.7122,690.3901
393.1943,724.8722
393.6764,757.8118
394.1585,790.1447
394.6407,823.8282
395.1228,860.2223
395.6049,897.9158
396.087,936.3486
396.5691,974.7181
397.0512,1015.417
397.5334,1057.823
398.0155,1103.399
398.4976,1153.353
