WavwNum_Corundum,value_Corundum
235.3531,159.1377
235.8353,155.0898
236.3174,161.7305
236.7995,168.6621
237.2816,167.6064
237.7637,153.6143
238.2458,141.1572
238.728,130.0596
239.2101,120.5029
239.6922,125.3633
240.1743,163.8359
240.6564,197.7295
241.1385,185.6172
241.6207,84.37598
242.1028,13.22852
242.5849,0.682617
243.067,47.0957
243.5491,100.2725
244.0313,168.5352
244.5134,233.7627
244.9955,273.0615
245.4776,271.1934
245.9597,270.5879
246.4418,288.2383
246.924,333.8867
247.4061,339.2646
247.8882,282.8799
248.3703,202.1299
248.8524,152.1953
249.3345,142.5254
249.8167,145.5518
250.2988,152.8174
250.7809,162.6621
251.263,167.7197
251.7451,166.2539
252.2272,161.71
252.7094,160.5488
253.1915,163.623
253.6736,168.4951
254.1557,173.625
254.6378,176.5146
255.1199,189.46
255.6021,226.6602
256.0842,267.3506
256.5663,259.4521
257.0484,164.6172
257.5305,80.00586
258.0126,57.0293
258.4948,126.9639
258.9769,171.9072
259.459,181.332
259.9411,164.5918
260.4232,159.959
260.9053,177.3271
261.3875,193.1855
261.8696,194.5244
262.3517,175.376
262.8338,159.4209
263.3159,145.2041
263.798,138.1035
264.2802,151.251
264.7623,188.4531
265.2444,222.6904
265.7265,244.2217
266.2086,252.4951
266.6907,251.0889
267.1729,231.5918
267.655,202.9834
268.1371,205.4004
268.6192,252.5566
269.1013,299.4736
269.5834,309.7598
270.0656,272.2031
270.5477,250.4697
271.0298,257.1973
271.5119,282.4326
271.994,284.1221
272.4761,256.0508
272.9583,224.8213
273.4404,213.9932
273.9225,228.0342
274.4046,238.3838
274.8867,240.6934
275.3688,233.8594
275.851,224.5908
276.3331,216.5557
276.8152,203.3486
277.2973,175.0371
277.7794,128.1855
278.2615,99.47559
278.7437,100.4189
279.2258,124.3232
279.7079,138.9277
280.19,141.1133
280.6721,146.1982
281.1542,178.6396
281.6364,240.9619
282.1185,270.6279
282.6006,239.958
283.0827,169.5117
283.5648,153.7822
284.0469,203.6396
284.5291,251.5615
285.0112,216.5928
285.4933,102.083
285.9754,16.28613
286.4575,6.939453
286.9396,16.93945
287.4217,40.76855
287.9038,65.49023
288.386,85.20801
288.8681,91.07129
289.3502,84.3457
289.8323,79.02539
290.3144,78.47949
290.7965,81.79199
291.2787,85.59277
291.7608,89.60938
292.2429,97.45703
292.725,122.252
293.2071,158.0762
293.6892,174.1602
294.1714,150.9502
294.6535,106.1035
295.1356,77.89941
295.6177,67.04102
296.0998,61.57617
296.5819,49.69531
297.0641,33.91699
297.5462,22.21777
298.0283,16.85938
298.5104,17.46973
298.9925,27.88086
299.4746,48.01465
299.9568,62.79199
300.4389,53.31836
300.921,30.38672
301.4031,14.68262
301.8852,14.13379
302.3673,23.92676
302.8495,43.79102
303.3316,72.95703
303.8137,95.83789
304.2958,99.79492
304.7779,88.17773
305.26,66.59668
305.7422,23.56055
306.2243,19.875
306.7064,48.56543
307.1885,62.27734
307.6706,51.35156
308.1527,14.26367
308.6349,103.8369
309.117,173.2949
309.5991,213.7217
310.0812,224.1943
310.5633,188.1963
311.0454,109.0352
311.5276,43.7207
312.0097,44.3623
312.4918,71.34863
312.9739,80.5625
313.456,27.23438
313.9381,23.89746
314.4203,28.30371
314.9024,10.09375
315.3845,40.04199
315.8666,23.32715
316.3487,6.3125
316.8308,17.94531
317.313,13.69336
317.7951,49.87207
318.2772,80.23145
318.7593,104.0869
319.2414,114.0928
319.7235,106.498
320.2057,84.80273
320.6878,51.82812
321.1699,29.46289
321.652,83.64453
322.1341,74.01465
322.6162,7.859375
323.0984,39.00488
323.5805,23.91992
324.0626,1.611328
324.5447,9.018555
325.0268,110.083
325.5089,176.3682
325.9911,172.7256
326.4732,106.4131
326.9553,58.13281
327.4374,37.55273
327.9195,32.43555
328.4016,35.43945
328.8838,53.16602
329.3659,70.19531
329.848,87.33008
330.3301,103.4004
330.8122,112.1211
331.2943,105.2461
331.7765,99.06348
332.2586,103.5225
332.7407,128.3955
333.2228,144.9746
333.7049,139.6221
334.187,124.4531
334.6692,153.999
335.1513,255.0273
335.6334,358.7822
336.1155,432.4033
336.5976,483.1758
337.0797,479.0625
337.5619,398.7969
338.044,270.8975
