WavwNum_Armalcolite,value_Armalcolite
279.9641,0.214394
280.4462,0.048186999
280.9283,0.358009
281.4104,0.775681
281.8925,0.492378
282.3746,0.508026
282.8568,0.974495
283.3389,0.533485
283.821,0.439178
284.3031,0.915245
284.7852,0.868805
285.2673,0.570862
285.7495,0.152504
286.2316,0.37677
286.7137,0.932335
287.1958,1.560722
287.6779,2.128227
288.16,2.303337
288.6422,2.080727
289.1243,1.792679
289.6064,1.656052
290.0885,1.638916
290.5706,1.588806
291.0527,1.504128
291.5349,1.350281
292.017,1.031876
292.4991,0.566132
292.9812,0.101273
293.4633,0.335068
293.9454,0.710754
294.4276,0.897255
294.9097,0.869728
295.3918,0.733833
295.8739,0.562462
296.356,0.377655
296.8381,0.268494
297.3203,0.364418
297.8024,0.553917
298.2845,0.582123
298.7666,0.432373
299.2487,0.248535
299.7308,0.168076
300.213,0.164978
300.6951,0.164078
301.1772,0.071419001
301.6593,0.223991
302.1414,0.35994
302.6235,1.661125
303.1057,2.879356
303.5878,3.221161
304.0699,3.018913
304.552,2.86203
305.0341,2.867264
305.5162,3.069397
305.9984,3.714241
306.4805,4.708252
306.9626,5.443298
307.4447,5.206833
307.9268,4.552048
308.4089,4.238258
308.8911,4.698029
309.3732,5.180595
309.8553,4.891151
310.3374,4.070564
310.8195,3.523758
311.3016,3.889023
311.7838,4.646797
312.2659,5.373634
312.748,6.041367
313.2301,6.543213
313.7122,6.706978
314.1943,6.662491
314.6765,6.681625
315.1586,6.935471
315.6407,7.256874
316.1228,7.479965
316.6049,7.503342
317.087,7.789688
317.5692,9.022354
318.0513,10.53698
318.5334,11.39641
319.0155,10.67501
319.4976,9.787025
319.9797,9.185074
320.4619,8.884995
320.944,9.108032
321.4261,10.76987
321.9082,12.61812
322.3903,13.45782
322.8724,11.84554
323.3546,10.39901
323.8367,9.965019
324.3188,10.51186
324.8009,10.75462
325.283,10.26411
325.7651,9.550255
326.2473,8.968376
326.7294,8.17672
327.2115,7.862099
327.6936,8.464394
328.1757,9.753899
328.6578,10.59499
329.14,10.79728
329.6221,10.71893
330.1042,10.47771
330.5863,9.869759
331.0684,9.471657
331.5505,9.443741
332.0327,9.583389
332.5148,9.442612
332.9969,8.727379
333.479,8.138077
333.9611,7.987
334.4432,8.497528
334.9254,8.472626
335.4075,7.577614
335.8896,6.429359
336.3717,5.946281
336.8538,6.41172
337.3359,6.872498
337.818,7.02182
338.3001,6.863167
338.7823,7.048981
339.2644,7.760742
339.7465,8.425888
340.2286,8.386993
340.7107,7.558662
341.1928,6.722389
341.675,6.038177
342.1571,5.436905
342.6392,4.795189
343.1213,4.059319
343.6034,3.506126
344.0855,3.465973
344.5677,3.905106
345.0498,3.959297
345.5319,3.406364
346.014,2.656158
346.4961,2.641403
346.9782,3.329712
